编号	人群环境	款名	串品明细	串品合计	建议售价	包装与花型	建议补充装饰
A01	女生情侣·湖边黄昏约会	樱粉心动	京葱鸡腿肉×3（8.8元）＋彩椒鸡胸肉×2（8.8元）＋秋葵×2（5元）	54.0	98	樱花粉/奶白/奶茶；柔和单面半圆	珍珠细链、游味烧鸟小吊牌
A02	女生情侣·湖边黄昏约会	奶白月光	脆皮鸡腿肉×3（8.8元）＋鸡翅根×2（8.8元）＋秋葵×2（5元）	54.0	98	奶白/牛奶棉/浅粉；新月形	透明防水雾面纸、乳白鱼尾纱
A03	女生情侣·湖边黄昏约会	海棠告白	彩椒鸡胸肉×3（8.8元）＋凤梨牛肋条×2（18元）＋秋葵×2（5元）	72.4	128	海棠红/樱花粉/奶白；三角花型	纸艺小爱心、品牌封口贴
A04	女生情侣·湖边黄昏约会	粉黑反差	京葱鸡腿肉×2（8.8元）＋炭烤牛肋条×2（18元）＋炭烤五花肉×2（12元）＋秋葵×2（5元）	87.6	148	浅粉/黑墨/奶白；不对称斜线	黑色细网纱、黑色蜡绳
A05	女生情侣·湖边黄昏约会	纪念日星束	鲍鱼牛肋条×2（20元）＋凤梨牛肋条×2（18元）＋脆皮鸡腿肉×3（8.8元）＋秋葵×2（5元）	112.4	198	樱花粉/黑墨/奶白；高低放射式	小号亚克力纪念日卡、珍珠细链
B01	男友兄弟·夜间烧鸟店	黑金硬派	炭烤牛肋条×3（18元）＋炭烤五花肉×2（12元）＋鸡胗×2（8.8元）	95.6	158	黑墨/牛皮纸/奶白；直立三角	哑光金细绳、黑色品牌吊牌
B02	男友兄弟·夜间烧鸟店	牛皮野营	凤梨牛肋条×2（18元）＋炭烤五花肉×3（12元）＋鸡隔膜×2（8.8元）＋秋葵×2（5元）	99.6	168	牛皮纸/奶茶/黑墨；自然倾斜式	麻绳、窄竹片装饰
B03	男友兄弟·夜间烧鸟店	兄弟上上签	彩椒牛肋条×3（18元）＋鸡脖肉×3（8.8元）＋鸡胗×2（8.8元）＋秋葵×2（5元）	108.0	178	黑墨/奶白/海棠红；疏密扇形	“上上签”纸卡、黑色蜡绳
B04	男友兄弟·夜间烧鸟店	肉山火把	炭烤牛肋条×2（18元）＋鲍鱼牛肋条×1（20元）＋炭烤五花肉×3（12元）＋鸡翅根×2（8.8元）	109.6	188	黑墨/牛皮纸；火把式纵向轮廓	黑色网纱、金属质感纸边
B05	男友兄弟·夜间烧鸟店	王者黑红	鲍鱼牛肋条×3（20元）＋彩椒牛肋条×2（18元）＋脆皮鸡腿肉×3（8.8元）＋鸡胗×2（8.8元）	140.0	228	黑墨/海棠红/奶白；高级不对称三角	哑光金绳、定制火漆风纸贴
C01	父母长辈·家庭团聚	海棠团圆	京葱鸡腿肉×3（8.8元）＋炭烤五花肉×2（12元）＋彩椒鸡胸肉×2（8.8元）＋秋葵×3（5元）	83.0	138	海棠红/奶茶/奶白；低重心扇形	中式盘扣纸结、祝福卡
C02	父母长辈·家庭团聚	奶茶安康	脆皮鸡腿肉×3（8.8元）＋鸡翅根×2（8.8元）＋鸡胗×2（8.8元）＋秋葵×3（5元）	76.6	128	奶茶/奶白/牛皮纸；稳重半圆	米色流苏、牛皮纸祝福签
C03	父母长辈·家庭团聚	丰收扇面	凤梨牛肋条×2（18元）＋京葱鸡腿肉×3（8.8元）＋炭烤五花肉×2（12元）＋秋葵×3（5元）	101.4	168	海棠红/奶茶；宽扇形	细金绳、纸艺银杏叶
C04	父母长辈·家庭团聚	家宴花篮	炭烤牛肋条×2（18元）＋彩椒鸡胸肉×3（8.8元）＋鸡翅根×2（8.8元）＋秋葵×3（5元）	95.0	158	奶白/奶茶/海棠红；低矮篮式	可提手纸托、祝福吊牌
C05	父母长辈·家庭团聚	满堂上签	鲍鱼牛肋条×2（20元）＋凤梨牛肋条×2（18元）＋京葱鸡腿肉×3（8.8元）＋炭烤五花肉×2（12元）＋秋葵×3（5元）	141.4	228	海棠红/黑墨/奶茶；层叠大扇形	中式流苏、定制家宴卡
D01	商务礼赠·湖畔私宴	墨白留香	鲍鱼牛肋条×2（20元）＋炭烤牛肋条×3（18元）＋鸡胗×2（8.8元）＋秋葵×2（5元）	121.6	198	黑墨/奶白；极简直立式	烟灰半透明防水纸、银灰细绳
D02	商务礼赠·湖畔私宴	湖畔高定	鲍鱼牛肋条×3（20元）＋凤梨牛肋条×3（18元）＋脆皮鸡腿肉×3（8.8元）＋秋葵×2（5元）	150.4	248	黑墨/奶茶/奶白；不对称弧线	亚克力品牌牌、烟灰网纱
D03	商务礼赠·湖畔私宴	赤墨贺礼	彩椒牛肋条×3（18元）＋炭烤牛肋条×3（18元）＋炭烤五花肉×3（12元）＋秋葵×3（5元）	159.0	258	黑墨/海棠红；现代三角	哑光金属网、细金绳
D04	商务礼赠·湖畔私宴	竹影长锋	鲍鱼牛肋条×2（20元）＋凤梨牛肋条×2（18元）＋炭烤牛肋条×2（18元）＋京葱鸡腿肉×3（8.8元）＋秋葵×2（5元）	148.4	248	牛皮纸/黑墨/奶白；长线倾斜式	细竹篾、黑色蜡绳、品牌吊牌
D05	商务礼赠·湖畔私宴	游味典藏	鲍鱼牛肋条×4（20元）＋炭烤牛肋条×4（18元）＋凤梨牛肋条×2（18元）＋炭烤五花肉×3（12元）＋脆皮鸡腿肉×3（8.8元）＋秋葵×3（5元）	265.4	398	黑墨/奶白/海棠红；大型雕塑放射式	定制硬质提盒底座、亚克力品牌牌、金属网
